PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40059474,Improving Tumor Targeting and Penetration for Nanoparticle-Mediated Cancer Therapy.,2025Mar09,Zhangyi Luo; Chien-Yu Chen; Song Li,"Center for Pharmacogenetics, Department of Pharmaceutical Sciences, School of Pharmacy, University of Pittsburgh, Pittsburgh, PA, 15261, USA.; Center for Pharmacogenetics, Department of Pharmaceutical Sciences, School of Pharmacy, University of Pittsburgh, Pittsburgh, PA, 15261, USA.; Center for Pharmacogenetics, Department of Pharmaceutical Sciences, School of Pharmacy, University of Pittsburgh, Pittsburgh, PA, 15261, USA.",N/A
40059427,Advances in Radiation Therapy Enhancement and Radio-Protection By Nano-Curcumins: A Systematic Review.,2025Mar07,Catherine Mt Sherwin,"Pediatric Clinical Pharmacology and Toxicology, Department of Pediatrics, Wright State University Boonshoft School of Medi-cine, Dayton Children's Hospital, One Children's Plaza, Dayton, Ohio, USA.",N/A
40059421,Advancements and Challenges of Plant-derived Extracellular Vesicles in Anti-Cancer Strategies and Drug Delivery.,2025Mar07,Fen Zhang; Zhuohang Yang,"School of Pharmacy, Shenzhen University Medical School, Shenzhen University, Shenzhen, Guangdong, 518055, China.; School of Pharmacy, Shenzhen University Medical School, Shenzhen University, Shenzhen, Guangdong, 518055, China.",N/A
40059420,Innovative Theranostics Strategies in the Fight Against Lung Cancer.,2025Mar07,Aashi Jain; Sakshi Soni; Vandana Soni; Sushil Kumar Kashaw,"Department of Pharmaceutical Sciences, Dr. Harisingh Gour University, Sagar, Madhya Pradesh, 470003.; Department of Pharmaceutical Sciences, Dr. Harisingh Gour University, Sagar, Madhya Pradesh, 470003.; Department of Pharmaceutical Sciences, Dr. Harisingh Gour University, Sagar, Madhya Pradesh, 470003.; Department of Pharmaceutical Sciences, Dr. Harisingh Gour University, Sagar, Madhya Pradesh, 470003.",N/A
40059419,Common Signaling Pathways in Cancer and Alzheimer's Disease May Point to New Treatments.,2025Mar07,Chenglong Wu; Leyao Jiang; Ying Zhong; Zongliang Liu,"School of Pharmacy, Key Laboratory of Molecular Pharmacology and Drug Evaluation (Yantai University), Ministry of Education, Collaborative Innovation Center of Advanced Drug Delivery System and Biotech Drugs in Universities of Shandong, Yantai University, Yantai, China.; School of Pharmacy, Key Laboratory of Molecular Pharmacology and Drug Evaluation (Yantai University), Ministry of Education, Collaborative Innovation Center of Advanced Drug Delivery System and Biotech Drugs in Universities of Shandong, Yantai University, Yantai, China.; School of Pharmacy, Key Laboratory of Molecular Pharmacology and Drug Evaluation (Yantai University), Ministry of Education, Collaborative Innovation Center of Advanced Drug Delivery System and Biotech Drugs in Universities of Shandong, Yantai University, Yantai, China.; School of Pharmacy, Key Laboratory of Molecular Pharmacology and Drug Evaluation (Yantai University), Ministry of Education, Collaborative Innovation Center of Advanced Drug Delivery System and Biotech Drugs in Universities of Shandong, Yantai University, Yantai, China.",N/A
40059744,Point-of-care β-hydroxybutyrate and glucose as candidate screening methods for ketoacidosis-associated death in forensic autopsy investigations.,2025Feb,Victoria Higgins; Matthew Nichols; Helen Jo; Paul M Yip,"Precision Diagnostics & Therapeutics Program (Laboratory Medicine), Sunnybrook Health Sciences Centre, Toronto, ON, Canada; Department of Laboratory Medicine and Pathobiology, University of Toronto, Toronto, ON, Canada.; Precision Diagnostics & Therapeutics Program (Laboratory Medicine), Sunnybrook Health Sciences Centre, Toronto, ON, Canada; Department of Laboratory Medicine and Pathobiology, University of Toronto, Toronto, ON, Canada.; Precision Diagnostics & Therapeutics Program (Laboratory Medicine), Sunnybrook Health Sciences Centre, Toronto, ON, Canada.; Precision Diagnostics & Therapeutics Program (Laboratory Medicine), Sunnybrook Health Sciences Centre, Toronto, ON, Canada; Department of Laboratory Medicine and Pathobiology, University of Toronto, Toronto, ON, Canada.",jennifer.dmetrichuk@ontario.ca
40059610,Skin-Inspired and Self-Regulated Hydrophobic Hydrogel for Diabetic Wound Therapy.,2025Mar10,Yonghang Liu; Xiaoxue Yang; Kefan Wu; Jingyao Feng; Ao Li; Yi Zhun Zhu; Hui Guo; Xiaolin Wang,"School of Pharmacy and State Key Laboratory of Quality Research in Chinese Medicine, Macau University of Science and Technology, Macao, 999078, China.; School of Pharmacy and State Key Laboratory of Quality Research in Chinese Medicine, Macau University of Science and Technology, Macao, 999078, China.; School of Pharmacy and State Key Laboratory of Quality Research in Chinese Medicine, Macau University of Science and Technology, Macao, 999078, China.; School of Pharmacy and State Key Laboratory of Quality Research in Chinese Medicine, Macau University of Science and Technology, Macao, 999078, China.; School of Pharmacy and State Key Laboratory of Quality Research in Chinese Medicine, Macau University of Science and Technology, Macao, 999078, China.; School of Pharmacy and State Key Laboratory of Quality Research in Chinese Medicine, Macau University of Science and Technology, Macao, 999078, China.; School of Pharmacy and State Key Laboratory of Quality Research in Chinese Medicine, Macau University of Science and Technology, Macao, 999078, China.; School of Pharmacy and State Key Laboratory of Quality Research in Chinese Medicine, Macau University of Science and Technology, Macao, 999078, China.",N/A
40059602,Wounds Regeneration 4.0. efficacy in the managing of cutaneous lesions with a new medical device: Lecoxen® Cream.,2025Feb,Alessandra Gilardini; Sophie K Lai; Davide Carati,"Unit of Pharmacy, ASST Melegnano Martesana, Melegnano, Milan, Italy.; Unit of Pharmacy, ASST Melegnano Martesana, Melegnano, Milan, Italy.; Research&amp;Development Department Ekuberg Pharma, Carpignano Salentino, Lecce, Italy - davide.carati@ekubergpharma.com.",davide.carati@ekubergpharma.com
40059125,Beyond Diabetes: Semaglutide's Role in Modulating Mood Disorders through Neuroinflammation Pathways.,2025Mar10,Iwona Piątkowska-Chmiel; Katarzyna Wicha-Komsta; Kamil Pawłowski; Aleksandra Syrytczyk; Tomasz Kocki; Jarosław Dudka; Mariola Herbet,"Department of Toxicology, Faculty of Pharmacy, Medical University of Lublin, 8B Jaczewskiego Street, 20-090, Lublin, Poland. iwona.piatkowska-chmiel@umlub.pl.; Department of Experimental and Clinical Pharmacology, Faculty of Medicine, Medical University of Lublin, Lublin, Poland.; Department of Toxicology, Faculty of Pharmacy, Medical University of Lublin, 8B Jaczewskiego Street, 20-090, Lublin, Poland.; Department of Toxicology, Faculty of Pharmacy, Medical University of Lublin, 8B Jaczewskiego Street, 20-090, Lublin, Poland.; Department of Experimental and Clinical Pharmacology, Faculty of Medicine, Medical University of Lublin, Lublin, Poland.; Department of Toxicology, Faculty of Pharmacy, Medical University of Lublin, 8B Jaczewskiego Street, 20-090, Lublin, Poland.; Department of Toxicology, Faculty of Pharmacy, Medical University of Lublin, 8B Jaczewskiego Street, 20-090, Lublin, Poland.",iwona.piatkowska-chmiel@umlub.pl
40059113,Increasing trends of hyperglycemia and diabetes in treatment-naive people living with HIV in Shenzhen from 2013 to 2019: An emerging health concern.,2025Mar10,Liqin Sun; Man Rao; Fang Zhao; Yang Zhou; Lukun Zhang; Xia Shi; Yun He; Hongzhou Lu,"Department of Infectious Diseases, National Clinical Research Center for Infectious Diseases, Shenzhen Third People's Hospital, Shenzhen, Guangdong 518112, China.; Department of Infectious Diseases, National Clinical Research Center for Infectious Diseases, Shenzhen Third People's Hospital, Shenzhen, Guangdong 518112, China.; Department of Infectious Diseases, National Clinical Research Center for Infectious Diseases, Shenzhen Third People's Hospital, Shenzhen, Guangdong 518112, China.; Department of Infectious Diseases, National Clinical Research Center for Infectious Diseases, Shenzhen Third People's Hospital, Shenzhen, Guangdong 518112, China.; Department of Infectious Diseases, National Clinical Research Center for Infectious Diseases, Shenzhen Third People's Hospital, Shenzhen, Guangdong 518112, China.; Department of General Practice, National Clinical Research Center for Infectious Diseases, Shenzhen Third People's Hospital, Shenzhen, Guangdong 518112, China.; Department of Infectious Diseases, National Clinical Research Center for Infectious Diseases, Shenzhen Third People's Hospital, Shenzhen, Guangdong 518112, China.; Department of Infectious Diseases, National Clinical Research Center for Infectious Diseases, Shenzhen Third People's Hospital, Shenzhen, Guangdong 518112, China.",N/A
40057880,Assessing the Efficacy of Spinal Cord Stimulation in Managing Painful Diabetic Neuropathy: A Systematic Review and Meta-Analysis.,2025Mar06,Mostafa Hossam El Din Moawad,"Faculty of Pharmacy, Clinical Department, Alexandria Main University Hospital, Alexandria, Egypt.",raslana@ohsu.edu
40057872,"Prescribing Patterns of SGLT2 Inhibitors and GLP-1 Receptor Agonists in Patients With Type 2 Diabetes at Cardiology, Endocrinology, and Primary Care Visits.",2025Mar06,Dave L Dixon; Teresa M Salgado; Tyler D Wagner; Roy T Sabo,"Center for Pharmacy Practice Innovation, Virginia Commonwealth University School of Pharmacy, Richmond, Virginia, USA; Department of Pharmacotherapy and Outcomes Science, Virginia Commonwealth University School of Pharmacy, Richmond, Virginia, USA. Electronic address: DLDixon@vcu.edu.; Center for Pharmacy Practice Innovation, Virginia Commonwealth University School of Pharmacy, Richmond, Virginia, USA; Department of Pharmacotherapy and Outcomes Science, Virginia Commonwealth University School of Pharmacy, Richmond, Virginia, USA.; Center for Pharmacy Practice Innovation, Virginia Commonwealth University School of Pharmacy, Richmond, Virginia, USA; Department of Pharmacotherapy and Outcomes Science, Virginia Commonwealth University School of Pharmacy, Richmond, Virginia, USA.; Center for Pharmacy Practice Innovation, Virginia Commonwealth University School of Pharmacy, Richmond, Virginia, USA; Department of Biostatistics, Virginia Commonwealth University School of Public Health, Richmond, Virginia, USA.",DLDixon@vcu.edu
40057344,Tuberculosis.,2025Mar08,Jonathon R Campbell; Rovina Ruslami,"McGill International TB Centre, Montreal, QC, Canada; Department of Medicine, McGill University, Montreal, QC, Canada; Department of Global and Public Health, McGill University, Montreal, QC, Canada; Respiratory Epidemiology and Clinical Research Unit, Centre for Outcomes Research & Evaluation, Research Institute of the McGill University Health Centre, Montreal, QC, Canada.; McGill International TB Centre, Montreal, QC, Canada; Department of Biomedical Sciences, Division of Pharmacology, Faculty of Medicine, Universitas Padjadjaran, Bandung, Indonesia.",dick.menzies@mcgill.ca
40057260,Comparing the therapeutic influence of bone marrow Mesenchymal stem cells versus its derived exosomes against diabetic hepatopathy in rats.,2025Mar06,Fady Sayed Youssef,"Department of Pharmacology, Faculty of Veterinary Medicine, Cairo University, Giza square, 12211, Giza, Egypt. Electronic address: fadyalsalhany@cu.edu.eg.",rehabmahmoud297@gmail.com
40056655,Multimodal mass spectrometry imaging reveals spatial metabolic reprogramming in diabetic liver disease.,2025Mar04,Zhonghua Wang; Zeper Abliz,"Key Laboratory of Mass Spectrometry Imaging and Metabolomics (Minzu University of China), National Ethnic Affairs Commission, Beijing, 100081, China; Center for Imaging and Systems Biology, College of Life and Environmental Sciences, Minzu University of China, Beijing, 100081, China; Key Laboratory of Ethnomedicine of Ministry of Education, School of Pharmacy, Minzu University of China, Beijing, 100081, China. Electronic address: wangzhonghua@muc.edu.cn.; Key Laboratory of Mass Spectrometry Imaging and Metabolomics (Minzu University of China), National Ethnic Affairs Commission, Beijing, 100081, China; Center for Imaging and Systems Biology, College of Life and Environmental Sciences, Minzu University of China, Beijing, 100081, China; Key Laboratory of Ethnomedicine of Ministry of Education, School of Pharmacy, Minzu University of China, Beijing, 100081, China.",wangzhonghua@muc.edu.cn
40056450,"Biomarkers, Proteoforms, and Mass Spectrometry-based Assays for Diabetes Clinical Research.",2025Mar08,Annie Moradian; Qingqing Shen; Jun Qu; Jennifer E van Eyk,"Precision Biomarker Laboratories, Cedars-Sinai Medical Center, Los Angeles, CA, United States.; Department of Pharmaceutical Sciences, University at Buffalo, Buffalo, NY, United States.; Department of Pharmaceutical Sciences, University at Buffalo, Buffalo, NY, United States.; Precision Biomarker Laboratories, Cedars-Sinai Medical Center, Los Angeles, CA, United States.",N/A
40055994,Erectile dysfunction in dermatology and venereology: From aetiopathogenic mechanisms to practical considerations for dermato-venereologists.,2025Mar08,Andrei Tanasov; George-Sorin Tiplica,"Carol Davila University of Medicine and Pharmacy, Bucharest, Romania.; Carol Davila University of Medicine and Pharmacy, Bucharest, Romania.",N/A
40059744,Point-of-care β-hydroxybutyrate and glucose as candidate screening methods for ketoacidosis-associated death in forensic autopsy investigations.,2025Feb,Victoria Higgins; Matthew Nichols; Helen Jo; Paul M Yip,"Precision Diagnostics & Therapeutics Program (Laboratory Medicine), Sunnybrook Health Sciences Centre, Toronto, ON, Canada; Department of Laboratory Medicine and Pathobiology, University of Toronto, Toronto, ON, Canada.; Precision Diagnostics & Therapeutics Program (Laboratory Medicine), Sunnybrook Health Sciences Centre, Toronto, ON, Canada; Department of Laboratory Medicine and Pathobiology, University of Toronto, Toronto, ON, Canada.; Precision Diagnostics & Therapeutics Program (Laboratory Medicine), Sunnybrook Health Sciences Centre, Toronto, ON, Canada.; Precision Diagnostics & Therapeutics Program (Laboratory Medicine), Sunnybrook Health Sciences Centre, Toronto, ON, Canada; Department of Laboratory Medicine and Pathobiology, University of Toronto, Toronto, ON, Canada.",jennifer.dmetrichuk@ontario.ca
40059610,Skin-Inspired and Self-Regulated Hydrophobic Hydrogel for Diabetic Wound Therapy.,2025Mar10,Yonghang Liu; Xiaoxue Yang; Kefan Wu; Jingyao Feng; Ao Li; Yi Zhun Zhu; Hui Guo; Xiaolin Wang,"School of Pharmacy and State Key Laboratory of Quality Research in Chinese Medicine, Macau University of Science and Technology, Macao, 999078, China.; School of Pharmacy and State Key Laboratory of Quality Research in Chinese Medicine, Macau University of Science and Technology, Macao, 999078, China.; School of Pharmacy and State Key Laboratory of Quality Research in Chinese Medicine, Macau University of Science and Technology, Macao, 999078, China.; School of Pharmacy and State Key Laboratory of Quality Research in Chinese Medicine, Macau University of Science and Technology, Macao, 999078, China.; School of Pharmacy and State Key Laboratory of Quality Research in Chinese Medicine, Macau University of Science and Technology, Macao, 999078, China.; School of Pharmacy and State Key Laboratory of Quality Research in Chinese Medicine, Macau University of Science and Technology, Macao, 999078, China.; School of Pharmacy and State Key Laboratory of Quality Research in Chinese Medicine, Macau University of Science and Technology, Macao, 999078, China.; School of Pharmacy and State Key Laboratory of Quality Research in Chinese Medicine, Macau University of Science and Technology, Macao, 999078, China.",N/A
40059602,Wounds Regeneration 4.0. efficacy in the managing of cutaneous lesions with a new medical device: Lecoxen® Cream.,2025Feb,Alessandra Gilardini; Sophie K Lai; Davide Carati,"Unit of Pharmacy, ASST Melegnano Martesana, Melegnano, Milan, Italy.; Unit of Pharmacy, ASST Melegnano Martesana, Melegnano, Milan, Italy.; Research&amp;Development Department Ekuberg Pharma, Carpignano Salentino, Lecce, Italy - davide.carati@ekubergpharma.com.",davide.carati@ekubergpharma.com
40059125,Beyond Diabetes: Semaglutide's Role in Modulating Mood Disorders through Neuroinflammation Pathways.,2025Mar10,Iwona Piątkowska-Chmiel; Katarzyna Wicha-Komsta; Kamil Pawłowski; Aleksandra Syrytczyk; Tomasz Kocki; Jarosław Dudka; Mariola Herbet,"Department of Toxicology, Faculty of Pharmacy, Medical University of Lublin, 8B Jaczewskiego Street, 20-090, Lublin, Poland. iwona.piatkowska-chmiel@umlub.pl.; Department of Experimental and Clinical Pharmacology, Faculty of Medicine, Medical University of Lublin, Lublin, Poland.; Department of Toxicology, Faculty of Pharmacy, Medical University of Lublin, 8B Jaczewskiego Street, 20-090, Lublin, Poland.; Department of Toxicology, Faculty of Pharmacy, Medical University of Lublin, 8B Jaczewskiego Street, 20-090, Lublin, Poland.; Department of Experimental and Clinical Pharmacology, Faculty of Medicine, Medical University of Lublin, Lublin, Poland.; Department of Toxicology, Faculty of Pharmacy, Medical University of Lublin, 8B Jaczewskiego Street, 20-090, Lublin, Poland.; Department of Toxicology, Faculty of Pharmacy, Medical University of Lublin, 8B Jaczewskiego Street, 20-090, Lublin, Poland.",iwona.piatkowska-chmiel@umlub.pl
40059113,Increasing trends of hyperglycemia and diabetes in treatment-naive people living with HIV in Shenzhen from 2013 to 2019: An emerging health concern.,2025Mar10,Liqin Sun; Man Rao; Fang Zhao; Yang Zhou; Lukun Zhang; Xia Shi; Yun He; Hongzhou Lu,"Department of Infectious Diseases, National Clinical Research Center for Infectious Diseases, Shenzhen Third People's Hospital, Shenzhen, Guangdong 518112, China.; Department of Infectious Diseases, National Clinical Research Center for Infectious Diseases, Shenzhen Third People's Hospital, Shenzhen, Guangdong 518112, China.; Department of Infectious Diseases, National Clinical Research Center for Infectious Diseases, Shenzhen Third People's Hospital, Shenzhen, Guangdong 518112, China.; Department of Infectious Diseases, National Clinical Research Center for Infectious Diseases, Shenzhen Third People's Hospital, Shenzhen, Guangdong 518112, China.; Department of Infectious Diseases, National Clinical Research Center for Infectious Diseases, Shenzhen Third People's Hospital, Shenzhen, Guangdong 518112, China.; Department of General Practice, National Clinical Research Center for Infectious Diseases, Shenzhen Third People's Hospital, Shenzhen, Guangdong 518112, China.; Department of Infectious Diseases, National Clinical Research Center for Infectious Diseases, Shenzhen Third People's Hospital, Shenzhen, Guangdong 518112, China.; Department of Infectious Diseases, National Clinical Research Center for Infectious Diseases, Shenzhen Third People's Hospital, Shenzhen, Guangdong 518112, China.",N/A
40057880,Assessing the Efficacy of Spinal Cord Stimulation in Managing Painful Diabetic Neuropathy: A Systematic Review and Meta-Analysis.,2025Mar06,Mostafa Hossam El Din Moawad,"Faculty of Pharmacy, Clinical Department, Alexandria Main University Hospital, Alexandria, Egypt.",raslana@ohsu.edu
40057872,"Prescribing Patterns of SGLT2 Inhibitors and GLP-1 Receptor Agonists in Patients With Type 2 Diabetes at Cardiology, Endocrinology, and Primary Care Visits.",2025Mar06,Dave L Dixon; Teresa M Salgado; Tyler D Wagner; Roy T Sabo,"Center for Pharmacy Practice Innovation, Virginia Commonwealth University School of Pharmacy, Richmond, Virginia, USA; Department of Pharmacotherapy and Outcomes Science, Virginia Commonwealth University School of Pharmacy, Richmond, Virginia, USA. Electronic address: DLDixon@vcu.edu.; Center for Pharmacy Practice Innovation, Virginia Commonwealth University School of Pharmacy, Richmond, Virginia, USA; Department of Pharmacotherapy and Outcomes Science, Virginia Commonwealth University School of Pharmacy, Richmond, Virginia, USA.; Center for Pharmacy Practice Innovation, Virginia Commonwealth University School of Pharmacy, Richmond, Virginia, USA; Department of Pharmacotherapy and Outcomes Science, Virginia Commonwealth University School of Pharmacy, Richmond, Virginia, USA.; Center for Pharmacy Practice Innovation, Virginia Commonwealth University School of Pharmacy, Richmond, Virginia, USA; Department of Biostatistics, Virginia Commonwealth University School of Public Health, Richmond, Virginia, USA.",DLDixon@vcu.edu
40057344,Tuberculosis.,2025Mar08,Jonathon R Campbell; Rovina Ruslami,"McGill International TB Centre, Montreal, QC, Canada; Department of Medicine, McGill University, Montreal, QC, Canada; Department of Global and Public Health, McGill University, Montreal, QC, Canada; Respiratory Epidemiology and Clinical Research Unit, Centre for Outcomes Research & Evaluation, Research Institute of the McGill University Health Centre, Montreal, QC, Canada.; McGill International TB Centre, Montreal, QC, Canada; Department of Biomedical Sciences, Division of Pharmacology, Faculty of Medicine, Universitas Padjadjaran, Bandung, Indonesia.",dick.menzies@mcgill.ca
40057260,Comparing the therapeutic influence of bone marrow Mesenchymal stem cells versus its derived exosomes against diabetic hepatopathy in rats.,2025Mar06,Fady Sayed Youssef,"Department of Pharmacology, Faculty of Veterinary Medicine, Cairo University, Giza square, 12211, Giza, Egypt. Electronic address: fadyalsalhany@cu.edu.eg.",rehabmahmoud297@gmail.com
40056655,Multimodal mass spectrometry imaging reveals spatial metabolic reprogramming in diabetic liver disease.,2025Mar04,Zhonghua Wang; Zeper Abliz,"Key Laboratory of Mass Spectrometry Imaging and Metabolomics (Minzu University of China), National Ethnic Affairs Commission, Beijing, 100081, China; Center for Imaging and Systems Biology, College of Life and Environmental Sciences, Minzu University of China, Beijing, 100081, China; Key Laboratory of Ethnomedicine of Ministry of Education, School of Pharmacy, Minzu University of China, Beijing, 100081, China. Electronic address: wangzhonghua@muc.edu.cn.; Key Laboratory of Mass Spectrometry Imaging and Metabolomics (Minzu University of China), National Ethnic Affairs Commission, Beijing, 100081, China; Center for Imaging and Systems Biology, College of Life and Environmental Sciences, Minzu University of China, Beijing, 100081, China; Key Laboratory of Ethnomedicine of Ministry of Education, School of Pharmacy, Minzu University of China, Beijing, 100081, China.",wangzhonghua@muc.edu.cn
40056450,"Biomarkers, Proteoforms, and Mass Spectrometry-based Assays for Diabetes Clinical Research.",2025Mar08,Annie Moradian; Qingqing Shen; Jun Qu; Jennifer E van Eyk,"Precision Biomarker Laboratories, Cedars-Sinai Medical Center, Los Angeles, CA, United States.; Department of Pharmaceutical Sciences, University at Buffalo, Buffalo, NY, United States.; Department of Pharmaceutical Sciences, University at Buffalo, Buffalo, NY, United States.; Precision Biomarker Laboratories, Cedars-Sinai Medical Center, Los Angeles, CA, United States.",N/A
40055994,Erectile dysfunction in dermatology and venereology: From aetiopathogenic mechanisms to practical considerations for dermato-venereologists.,2025Mar08,Andrei Tanasov; George-Sorin Tiplica,"Carol Davila University of Medicine and Pharmacy, Bucharest, Romania.; Carol Davila University of Medicine and Pharmacy, Bucharest, Romania.",N/A
